STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT10
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/1/15,10.51,,0,0,0,67,81,55,20,20,29.1,36,1,1,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/2/15,12.75,,0,0,0,55,59,45,20,20,31.1,38.9,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/3/15,10.29,,0.74,0,0,47,48,44,20,30,19.9,23,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/4/15,8.05,,0.05,0,0,50,61,47,360,360,18.1,21,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/5/15,10.29,,0,0,0,56,58,48,10,10,23,27.1,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/6/15,5.82,,0,0,0,50,57,46,20,20,10.1,12.1,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/7/15,8.28,,0,0,0,56,71,46,150,160,19.9,23,1,,,,,,,1,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/8/15,12.08,,0,0,0,65,83,55,200,190,23,28,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/9/15,5.37,,0,0,0,65,83,54,360,10,10.1,16.1,1,1,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/10/15,6.71,,0,0,0,64,82,47,140,120,16.1,19,1,1,,,,,,1,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/11/15,9.84,,0,0,0,62,77,49,140,150,21.9,27.1,1,1,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/12/15,11.41,,0,0,0,64,71,54,20,30,28,33.1,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/13/15,7.38,,0,0,0,59,69,53,110,110,13,15,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/14/15,6.04,,0,0,0,61,76,51,100,230,14.1,16.1,1,,,,,,,1,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/15/15,14.09,,0.01,0,0,65,75,60,160,160,23.9,30,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/16/15,16.11,,0,0,0,64,77,42,10,10,32,38.9,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/17/15,10.96,,0.07,0,0,44,57,39,10,10,21,28,1,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/18/15,6.26,,0,0,0,48,65,32,170,130,18.1,23.9,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.7742,-97.5122,13.4,2/19/15,13.42,,0,0,0,57,72,45,160,160,25.9,33.1,,,,,,,,,
