STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT10
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/3/15,3.13,,0.1,,,,45,40,70,80,8.1,10.1,1,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/4/15,3.36,,0,,,,53,44,200,180,8.9,15,1,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/5/15,7.83,,0,,,,53,44,360,360,21,29.1,,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/6/15,2.91,,0,,,,57,44,200,,12.1,,1,,,,,,,1,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/7/15,7.38,,0,,,,70,47,230,220,17,23,,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/8/15,6.26,,0,,,,74,55,260,240,14.1,19.9,1,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/9/15,2.01,,0,,,,83,47,180,70,8.9,13,,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/10/15,5.14,,0,,,,82,45,180,160,14.1,18.1,,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/11/15,6.04,,0,,,,76,44,130,130,17,21.9,1,1,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/12/15,10.51,,0,,,,67,50,20,20,18.1,28,,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/13/15,2.91,,0,,,,69,51,210,250,10.1,14.1,,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/14/15,4.92,,0,,,,74,48,270,280,12.1,19.9,1,,,,,,,1,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/15/15,5.59,,0.01,,,,73,58,160,160,16.1,21.9,1,,,,,,,,
USW00012970,"SAN ANTONIO STINSON MUNICIPAL AIRPORT, TX US",29.3389,-98.472,174,2/16/15,10.07,,0.03,,,,66,41,20,350,23,32,1,,,,,,,,
